GVKEY	datadate	fyearq	fqtr	fyr	tic	cusip	actq	chq	intanq	ltq	cogsy	add1	conml	naics
006066	20120630	2012	2	12	IBM	459200101	47392.0000	10864.0000	31392.0000	93269.0000	24449.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20120930	2012	3	12	IBM	459200101	48141.0000	11909.0000	31835.0000	94112.0000	36137.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20121231	2012	4	12	IBM	459200101	49433.0000	10412.0000	33033.0000	100229.0000	48987.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20130331	2013	1	12	IBM	459200101	48949.0000	10586.0000	32625.0000	98044.0000	11427.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20130630	2013	2	12	IBM	459200101	47911.0000	9558.0000	32265.0000	97270.0000	22140.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20130930	2013	3	12	IBM	459200101	47533.0000	10072.0000	34884.0000	97837.0000	32727.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20131231	2013	4	12	IBM	459200101	51350.0000	10716.0000	35055.0000	103294.0000	44419.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20140331	2014	1	12	IBM	459200101	47959.0000	9409.0000	34912.0000	105906.0000	10312.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20140630	2014	2	12	IBM	459200101	48182.0000	9715.0000	35153.0000	106801.0000	21027.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20140930	2014	3	12	IBM	459200101	47163.0000	9561.0000	34418.0000	104516.0000	31282.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20141231	2014	4	12	IBM	459200101	49422.0000	8476.0000	33659.0000	105518.0000	41353.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20150331	2015	1	12	IBM	459200101	46316.0000	8795.0000	32862.0000	99748.0000	9030.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20150630	2015	2	12	IBM	459200101	45186.0000	8393.0000	33474.0000	98892.0000	18356.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20150930	2015	3	12	IBM	459200101	42112.0000	9480.0000	33049.0000	95198.0000	27132.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20151231	2015	4	12	IBM	459200101	42504.0000	7686.0000	35508.0000	96071.0000	36662.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20160331	2016	1	12	IBM	459200101	47623.0000	14354.0000	38694.0000	103784.0000	8836.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20160630	2016	2	12	IBM	459200101	43524.0000	10017.0000	41570.0000	102167.0000	18123.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20160930	2016	3	12	IBM	459200101	41433.0000	9039.0000	41282.0000	98447.0000	27062.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20161231	2016	4	12	IBM	459200101	43888.0000	7826.0000	40887.0000	99078.0000	36668.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20170331	2017	1	12	IBM	459200101	42888.0000	10096.0000	40743.0000	99047.0000	9083.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20170630	2017	2	12	IBM	459200101	45013.0000	11696.0000	40696.0000	101951.0000	18242.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20170930	2017	3	12	IBM	459200101	44742.0000	10915.0000	40763.0000	101879.0000	27197.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20171231	2017	4	12	IBM	459200101	49735.0000	11972.0000	40530.0000	107631.0000	37492.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20180331	2018	1	12	IBM	459200101	49123.0000	11949.0000	40253.0000	106995.0000	9640.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20180630	2018	2	12	IBM	459200101	46795.0000	10741.0000	39825.0000	102974.0000	19244.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20180930	2018	3	12	IBM	459200101	48257.0000	11562.0000	39660.0000	102072.0000	27975.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20181231	2018	4	12	IBM	459200101	49146.0000	11379.0000	39353.0000	106453.0000	37856.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20190331	2019	1	12	IBM	459200101	52705.0000	17134.0000	39236.0000	114320.0000	8612.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20190630	2019	2	12	IBM	459200101	77517.0000	45399.0000	38011.0000	136876.0000	17401.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20190930	2019	3	12	IBM	459200101	38121.0000	10087.0000	73565.0000	131524.0000	25546.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20191231	2019	4	12	IBM	459200101	38420.0000	8172.0000	73457.0000	131201.0000	34743.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20200331	2020	1	12	IBM	459200101	38931.0000	11219.0000	72182.0000	133275.0000	8179.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20200630	2020	2	12	IBM	459200101	39953.0000	12040.0000	72104.0000	133512.0000	16090.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20200930	2020	3	12	IBM	459200101	39845.0000	14393.0000	72317.0000	132794.0000	23708.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20201231	2020	4	12	IBM	459200101	39165.0000	13212.0000	73413.0000	135244.0000	32025.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20210331	2021	1	12	IBM	459200101	34038.0000	10531.0000	73520.0000	127116.0000	4655.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20210630	2021	2	12	IBM	459200101	30774.0000	7350.0000	75184.0000	124747.0000	9513.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20210930	2021	3	12	IBM	459200101	29967.0000	7455.0000	74402.0000	121857.0000		One New Orchard Road	International Business Machines Corp	519130
006066	20211231	2021	4	12	IBM	459200101	29539.0000	6650.0000	68155.0000	113005.0000	20217.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20220331	2022	1	12	IBM	459200101	31330.0000	9933.0000	68419.0000	114163.0000	5804.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20220630	2022	2	12	IBM	459200101	27896.0000	7034.0000	66610.0000	108027.0000	11999.0000	One New Orchard Road	International Business Machines Corp	519130
012141	20100331	2010	3	6	MSFT	594918104	54518.0000	8155.0000	13745.0000	39200.0000	7270.0000	One Microsoft Way	Microsoft Corp	513210
012141	20100630	2010	4	6	MSFT	594918104	55676.0000	5505.0000	13552.0000	39938.0000	9722.0000	One Microsoft Way	Microsoft Corp	513210
012141	20100930	2011	1	6	MSFT	594918104	59581.0000	8161.0000	13548.0000	44598.0000	2445.0000	One Microsoft Way	Microsoft Corp	513210
012141	20101231	2011	2	6	MSFT	594918104	59684.0000	4023.0000	13494.0000	43825.0000	6615.0000	One Microsoft Way	Microsoft Corp	513210
012141	20110331	2011	3	6	MSFT	594918104	66263.0000	7021.0000	13394.0000	46275.0000	9792.0000	One Microsoft Way	Microsoft Corp	513210
012141	20110630	2011	4	6	MSFT	594918104	74918.0000	9610.0000	13325.0000	51621.0000	12811.0000	One Microsoft Way	Microsoft Corp	513210
012141	20110930	2012	1	6	MSFT	594918104	75271.0000	12881.0000	13563.0000	48024.0000	3051.0000	One Microsoft Way	Microsoft Corp	513210
012141	20111231	2012	2	6	MSFT	594918104	72513.0000	10610.0000	22251.0000	48122.0000	8011.0000	One Microsoft Way	Microsoft Corp	513210
012141	20120331	2012	3	6	MSFT	594918104	76860.0000	6388.0000	22454.0000	49351.0000	11197.0000	One Microsoft Way	Microsoft Corp	513210
012141	20120630	2012	4	6	MSFT	594918104	85084.0000	6938.0000	16622.0000	54908.0000	14563.0000	One Microsoft Way	Microsoft Corp	513210
012141	20120930	2013	1	6	MSFT	594918104	84051.0000	5036.0000	17889.0000	53040.0000	3458.0000	One Microsoft Way	Microsoft Corp	513210
012141	20121231	2013	2	6	MSFT	594918104	89574.0000	6017.0000	18068.0000	56107.0000	8141.0000	One Microsoft Way	Microsoft Corp	513210
